,Age,Gender,Race,Living_area,Income,Bus_usage,Challenges,,,,,,Limited_routes,Inadequate_Service,Highcost,Preferown,Safety_1,Insufficient_info,Carry_items,Disabilities,Overcrowded,Privacy_concernbus,Improvements,,,,,,,Buslanes_2,App_2,Services_2,Hybrid_2,Hours_2,Sharing_2,Loyalty_2,Purpose,,,,,,Work,Education,Medical,Leisure,Shopping,Church,Other,Wait_time,Commute_time,Getting_tostation,Time_spend,Concern_COVID19,Reasons_COVID19,,,Overcrowded,Masks,Socialdistance,Smartphone,Application_used,,,Google,CATS,Other,Satisfaction_CATS,Reasons_CATS,,,Schedule_3,Userfriendly_3,Slow_3,Others_3,Willingness_Uber,Desired_timeline,Ticket_location,Willingness_newapp,Concern_newapp,Willingness_travelapp,Interested_intech,,,,Wait_time,Trip,Privacy,App
43,35-44,Female,White,West,12.5K_45K,Daily,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Work,Leisure,,,,,1,0,0,1,0,0,0,10_20,5_10,Walk,10_20,veryConcerned,Overcrowded,Masks,Socialdistance,1,1,1,Yes,CATS,,,0,1,0,Verysatisfied,NA,,,0,0,0,0,No,30,TicketMachine,Yes,Privacy,Verywilling,Wait_time,,,,1,0,0,0
44,25-34,Female,Black,South,12.5K_45K,Daily,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Work,Medical,Leisure,,,,1,0,1,1,0,0,0,10_20,5_10,Anotherbus,20_30,UsuallyConcerned,Overcrowded,Masks,Socialdistance,1,1,1,Yes,Google,CATS,,1,1,0,Verysatisfied,NA,,,0,0,0,0,No,30,CTC,Yes,Privacy,Verywilling,Wait_time,,,,1,0,0,0
45,55-64,Male,White,North,12.5K,Daily,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Leisure,,,,,,0,0,0,1,0,0,0,10_20,30,Anotherbus,20_30,Notimportant,Overcrowded,,,1,0,0,No,NA,,,0,0,0,NA,NA,,,0,0,0,0,No,30,Other,Yes,Trust_inbus,Verywilling,Wait_time,,,,1,0,0,0
46,55-64,Male,White,East,12.5K_45K,Week,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Work,,,,,,1,0,0,0,0,0,0,30,5_10,Walk,20_30,Notimportant,Overcrowded,,,1,0,0,Yes,CATS,,,0,1,0,Somewhatsatisfied,NA,,,0,0,0,0,No,30,MobileApp,Yes,Privacy,Somewhatwilling,Wait_time,,,,1,0,0,0
47,18-24,Male,Black,East,12.5K_45K,Daily,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Work,Leisure,,,,,1,0,0,1,0,0,0,5_10,5_10,Walk,20_30,Notimportant,Overcrowded,,,1,0,0,Yes,Google,CATS,,1,1,0,Verysatisfied,NA,,,0,0,0,0,Yes,30,CTC,Yes,Privacy,Verywilling,Wait_time,,,,1,0,0,0
48,25-34,Male,Other,East,12.5K_45K,Week,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Medical,,,,,,0,0,1,0,0,0,0,10_20,5_10,Anotherbus,10_20,veryConcerned,Overcrowded,,,1,0,0,Yes,CATS,,,0,1,0,Verysatisfied,Schedule,,,1,0,0,0,No,30,CTC,Yes,Privacy,Verywilling,Wait_time,,,,1,0,0,0
49,45-54,Male,Black,North,12.5K,Daily,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Shopping,Work,,,,,1,0,0,0,1,0,0,10_20,5_10,Anotherbus,20_30,Notimportant,Overcrowded,,,1,0,0,No,NA,,,0,0,0,NA,NA,,,0,0,0,0,No,30,CTC,Yes,Privacy,Verywilling,Wait_time,,,,1,0,0,0
50,45-54,Male,White,East,80K,Month,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Leisure,,,,,,0,0,0,1,0,0,0,10_20,20_30,Biking,10_20,UsuallyConcerned,Overcrowded,,,1,0,0,No,Other,,,0,0,1,Dissatisfied,Slow,,,0,0,1,0,No,30,CTC,Yes,Trust_inapp,Somewhatunwilling,Wait_time,,,,1,0,0,0
51,55-64,Male,Black,North,12.5K_45K,Week,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Work,,,,,,1,0,0,0,0,0,0,5_10,5_10,Anotherbus,5_10,veryConcerned,Overcrowded,,,1,0,0,Yes,CATS,,,0,1,0,Somewhatsatisfied,Userfriendly,,,0,1,0,0,No,30,MobileApp,Yes,Privacy,Verywilling,Wait_time,,,,1,0,0,0
52,55-64,Male,Black,West,12.5K_45K,Daily,Preferown,,,,,,0,0,0,1,0,0,0,0,0,Privacy,Hours,,,,,,,0,0,0,0,1,0,0,Leisure,,,,,,0,0,0,1,0,0,0,20_30,10_20,Walk,10_20,UsuallyConcerned,Masks,,,0,1,0,No,Other,,,0,0,1,NA,NA,,,0,0,0,0,No,30,MobileApp,Yes,Trust_inapp,Somewhatwilling,Wait_time,,,,1,0,0,0
